Date,Open,High,Low,Close,Adj Close,Volume
2018-12-12,73.884003,74.382004,73.031998,73.320000,73.320000,25135000
2018-12-13,74.029999,75.487999,73.349998,75.358002,75.358002,36829500
2018-12-14,75.000000,75.573997,72.865997,73.141998,73.141998,31688000
2018-12-17,72.400002,73.139999,68.776001,69.683998,69.683998,38370000
2018-12-18,70.108002,70.309998,66.737999,67.405998,67.405998,35500000
2018-12-19,67.519997,69.402000,65.947998,66.594002,66.594002,41371000
2018-12-20,65.410004,66.057999,62.374001,63.076000,63.076000,45359500
2018-12-21,63.480000,64.694000,62.487999,63.953999,63.953999,40084000
2018-12-24,62.700001,62.900002,59.040001,59.077999,59.077999,27799500
2018-12-26,60.000000,65.393997,58.818001,65.218002,65.218002,40815500
2018-12-27,63.967999,64.433998,60.299999,63.226002,63.226002,42875500
2018-12-28,64.620003,67.248001,63.681999,66.774002,66.774002,49695000
2018-12-31,67.557999,67.842003,65.052002,66.559998,66.559998,31511500
2019-01-02,61.220001,63.026001,59.759998,62.023998,62.023998,58293000
2019-01-03,61.400002,61.880001,59.476002,60.071999,60.071999,34826000
2019-01-04,61.200001,63.599998,60.546001,63.537998,63.537998,36970500
2019-01-07,64.344002,67.348000,63.549999,66.991997,66.991997,37756000
2019-01-08,68.391998,68.802002,65.403999,67.070000,67.070000,35042500
2019-01-09,67.099998,68.699997,66.293999,67.706001,67.706001,27164500
2019-01-10,66.879997,69.078003,66.358002,68.994003,68.994003,30282000
2019-01-11,68.417999,69.681999,67.753998,69.452003,69.452003,25195500
2019-01-14,68.475998,68.500000,66.800003,66.879997,66.879997,26236500
2019-01-15,67.000000,69.760002,66.900002,68.886002,68.886002,30283000
2019-01-16,68.956001,70.400002,68.699997,69.209999,69.209999,23458500
2019-01-17,69.241997,70.300003,68.830002,69.461998,69.461998,18383500
2019-01-18,64.599998,65.426003,59.945999,60.452000,60.452000,120754000
2019-01-22,60.964001,61.599998,59.099998,59.784000,59.784000,60333500
2019-01-23,58.500000,58.900002,56.338001,57.518002,57.518002,62650000
2019-01-24,56.605999,58.736000,55.855999,58.301998,58.301998,40061000
2019-01-25,58.877998,59.703999,57.910000,59.408001,59.408001,36248000
2019-01-28,58.582001,59.492001,57.549999,59.276001,59.276001,32116500
2019-01-29,59.054001,59.712002,58.360001,59.492001,59.492001,23108500
2019-01-30,60.090000,61.799999,59.698002,61.754002,61.754002,56251500
2019-01-31,60.200001,62.312000,58.799999,61.403999,61.403999,62846000
2019-02-01,61.084000,63.220001,60.700001,62.442001,62.442001,36417000
2019-02-04,62.596001,63.060001,60.375999,62.577999,62.577999,36760500
2019-02-05,62.498001,64.487999,62.450001,64.269997,64.269997,33714000
2019-02-06,63.917999,64.848000,63.124001,63.444000,63.444000,25192500
2019-02-07,62.660000,62.939999,60.599998,61.501999,61.501999,32603000
2019-02-08,61.366001,61.490002,59.700001,61.160000,61.160000,29221000
2019-02-11,62.320000,63.720001,62.099998,62.568001,62.568001,35648500
2019-02-12,63.240002,63.638000,61.924000,62.362000,62.362000,27588000
2019-02-13,62.470001,62.549999,61.113998,61.633999,61.633999,25708000
2019-02-14,60.675999,61.354000,60.200001,60.754002,60.754002,26004000
2019-02-15,60.900002,61.599998,60.779999,61.576000,61.576000,19524500
2019-02-19,61.312000,62.307999,61.094002,61.127998,61.127998,20842000
2019-02-20,60.882000,61.259998,59.799999,60.512001,60.512001,35710500
2019-02-21,60.362000,60.647999,58.099998,58.245998,58.245998,44546000
2019-02-22,58.897999,59.299999,58.419998,58.942001,58.942001,28703000
2019-02-25,59.582001,60.580002,59.400002,59.754002,59.754002,33132500
2019-02-26,58.444000,60.402000,57.754002,59.571999,59.571999,42912500
2019-02-27,60.355999,63.259998,60.110001,62.948002,62.948002,55919500
2019-02-28,63.784000,64.000000,62.161999,63.976002,63.976002,52603500
2019-03-01,61.388000,61.425999,58.380001,58.958000,58.958000,114557000
2019-03-04,59.624001,59.799999,56.556000,57.071999,57.071999,85484000
2019-03-05,56.400002,56.799999,54.020000,55.307999,55.307999,93823500
2019-03-06,55.296001,56.301998,54.877998,55.248001,55.248001,51677500
2019-03-07,55.768002,56.939999,54.849998,55.318001,55.318001,47212500
2019-03-08,55.382000,57.118000,55.178001,56.827999,56.827999,44098000
2019-03-11,56.703999,58.256001,56.099998,58.183998,58.183998,36961500
2019-03-12,57.298000,57.613998,56.212002,56.672001,56.672001,37520500
2019-03-13,56.779999,58.397999,56.540001,57.792000,57.792000,34223500
2019-03-14,58.490002,59.077999,57.658001,57.992001,57.992001,35517000
2019-03-15,56.702000,56.743999,54.880001,55.085999,55.085999,73927500
2019-03-18,55.200001,55.610001,53.459999,53.897999,53.897999,51405000
2019-03-19,53.500000,54.660000,52.692001,53.493999,53.493999,59003000
2019-03-20,53.938000,54.993999,53.259998,54.720001,54.720001,34541000
2019-03-21,54.520000,55.290001,53.689999,54.804001,54.804001,29735500
2019-03-22,54.515999,54.560001,52.799999,52.905998,52.905998,43728000
2019-03-25,51.942001,52.636002,50.891998,52.084000,52.084000,51075000
2019-03-26,52.888000,54.051998,52.886002,53.554001,53.554001,36754500
2019-03-27,53.750000,55.074001,53.636002,54.966000,54.966000,43896000
2019-03-28,55.431999,56.066002,55.020000,55.723999,55.723999,33870500
2019-03-29,55.740002,56.032001,54.900002,55.972000,55.972000,29956500
2019-04-01,56.523998,57.840000,56.256001,57.835999,57.835999,40552000
2019-04-02,57.660000,57.888000,56.776001,57.175999,57.175999,27394500
2019-04-03,57.464001,59.234001,57.433998,58.362000,58.362000,39597000
2019-04-04,52.377998,54.240002,52.118000,53.556000,53.556000,118603500
2019-04-05,53.972000,55.220001,53.222000,54.992001,54.992001,65191500
2019-04-08,55.537998,56.231998,54.088001,54.639999,54.639999,52052000
2019-04-09,54.330002,55.000000,53.922001,54.462002,54.462002,29520000
2019-04-10,55.348000,55.675999,54.577999,55.212002,55.212002,35306500
2019-04-11,53.660000,54.099998,53.119999,53.683998,53.683998,49179500
2019-04-12,54.043999,54.389999,53.366001,53.540001,53.540001,33730000
2019-04-15,53.726002,53.776001,51.726002,53.276001,53.276001,50193000
2019-04-16,53.150002,55.000000,52.944000,54.672001,54.672001,36364500
2019-04-17,54.950001,54.958000,53.708000,54.245998,54.245998,25632500
2019-04-18,54.245998,54.967999,53.950001,54.652000,54.652000,29381500
2019-04-22,53.799999,53.936001,52.495998,52.549999,52.549999,60735500
2019-04-23,52.029999,53.119999,51.150002,52.779999,52.779999,54719500
2019-04-24,52.770000,53.063999,51.599998,51.731998,51.731998,53637500
2019-04-25,51.000000,51.799999,49.214001,49.526001,49.526001,109247000
2019-04-26,49.299999,49.335999,46.226002,47.028000,47.028000,111803500
2019-04-29,47.172001,48.796001,46.433998,48.293999,48.293999,83572500
2019-04-30,48.411999,48.841999,47.400002,47.737999,47.737999,47323000
2019-05-01,47.770000,48.000000,46.299999,46.801998,46.801998,53522000
2019-05-02,49.104000,49.425999,47.543999,48.820000,48.820000,90796500
2019-05-03,48.771999,51.321999,48.698002,51.006001,51.006001,118534000
2019-05-06,50.004002,51.669998,49.700001,51.068001,51.068001,54169500
2019-05-07,51.360001,51.442001,49.020000,49.411999,49.411999,50657000
2019-05-08,49.388000,50.119999,48.840000,48.967999,48.967999,30882000
2019-05-09,48.400002,48.736000,47.388000,48.396000,48.396000,33557000
2019-05-10,47.950001,48.397999,47.203999,47.903999,47.903999,35041500
2019-05-13,46.402000,46.493999,44.900002,45.402000,45.402000,54174000
2019-05-14,45.860001,46.900002,45.599998,46.462002,46.462002,36262000
2019-05-15,45.863998,46.487999,45.049999,46.389999,46.389999,36480000
2019-05-16,45.897999,46.200001,45.299999,45.666000,45.666000,37416500
2019-05-17,44.391998,44.448002,41.784000,42.206001,42.206001,88933500
2019-05-20,40.560001,41.200001,39.049999,41.071999,41.071999,102631000
2019-05-21,39.551998,41.480000,39.208000,41.015999,41.015999,90019500
2019-05-22,39.820000,40.787998,38.355999,38.546001,38.546001,93426000
2019-05-23,38.868000,39.894001,37.243999,39.098000,39.098000,132735500
2019-05-24,39.966000,39.995998,37.750000,38.125999,38.125999,70683000
2019-05-28,38.240002,39.000000,37.570000,37.740002,37.740002,51564500
2019-05-29,37.419998,38.478001,37.007999,37.972000,37.972000,59843000
2019-05-30,37.750000,38.452000,37.403999,37.644001,37.644001,39632500
2019-05-31,37.020000,37.984001,36.820000,37.032001,37.032001,52033500
2019-06-03,37.102001,37.335999,35.397999,35.793999,35.793999,65322000
2019-06-04,36.220001,38.796001,35.922001,38.720001,38.720001,69037500
2019-06-05,39.736000,40.256001,38.369999,39.318001,39.318001,67554000
2019-06-06,40.888000,42.200001,40.360001,41.189999,41.189999,101211000
2019-06-07,41.000000,42.167999,40.700001,40.900002,40.900002,80017500
2019-06-10,42.049999,43.388000,41.801998,42.576000,42.576000,52925000
2019-06-11,43.827999,44.180000,42.700001,43.419998,43.419998,58267500
2019-06-12,44.590000,44.675999,41.799999,41.852001,41.852001,75987500
2019-06-13,42.076000,42.980000,41.501999,42.782001,42.782001,40841500
2019-06-14,42.250000,43.330002,42.080002,42.984001,42.984001,37167000
2019-06-17,43.096001,45.400002,42.854000,45.006001,45.006001,61584000
2019-06-18,45.743999,46.948002,44.512001,44.948002,44.948002,63579000
2019-06-19,45.021999,45.554001,44.212002,45.285999,45.285999,32875500
2019-06-20,44.599998,45.380001,43.270000,43.924000,43.924000,59317500
2019-06-21,43.243999,44.436001,43.099998,44.372002,44.372002,41010500
2019-06-24,44.647999,45.172001,44.203999,44.728001,44.728001,28754000
2019-06-25,44.877998,45.068001,43.897999,43.952000,43.952000,30910500
2019-06-26,44.062000,45.445999,43.619999,43.854000,43.854000,42536000
2019-06-27,43.889999,44.580002,43.470001,44.568001,44.568001,31698500
2019-06-28,44.198002,45.034000,44.160000,44.692001,44.692001,34257000
2019-07-01,46.042000,46.619999,45.256001,45.433998,45.433998,41067000
2019-07-02,45.778000,45.830002,44.444000,44.910000,44.910000,46295000
2019-07-03,47.877998,48.313999,46.902000,46.980000,46.980000,71005500
2019-07-05,46.914001,47.090000,46.160000,46.619999,46.619999,35328500
2019-07-08,46.248001,46.450001,45.731998,46.068001,46.068001,29402500
2019-07-09,45.793999,46.200001,45.456001,46.012001,46.012001,30954000
2019-07-10,46.830002,47.787998,46.627998,47.784000,47.784000,45728500
2019-07-11,47.627998,48.299999,47.160000,47.720001,47.720001,37572000
2019-07-12,47.950001,49.076000,47.942001,49.015999,49.015999,46002500
2019-07-15,49.599998,50.883999,48.972000,50.700001,50.700001,55000500
2019-07-16,49.860001,50.706001,49.585999,50.476002,50.476002,40745000
2019-07-17,51.133999,51.661999,50.669998,50.972000,50.972000,48823500
2019-07-18,51.009998,51.150002,50.377998,50.708000,50.708000,23793000
2019-07-19,51.138000,51.992001,50.924000,51.636002,51.636002,35242000
2019-07-22,51.750000,52.430000,50.838001,51.136002,51.136002,34212000
2019-07-23,51.341999,52.096001,50.900002,52.034000,52.034000,25115500
2019-07-24,51.834000,53.214001,51.632000,52.976002,52.976002,55364000
2019-07-25,46.700001,46.900002,45.110001,45.764000,45.764000,112091500
2019-07-26,45.383999,46.051998,44.450001,45.608002,45.608002,50138500
2019-07-29,45.417999,47.188000,45.206001,47.153999,47.153999,46366500
2019-07-30,46.580002,48.672001,46.436001,48.452000,48.452000,40545000
2019-07-31,48.599998,49.335999,47.330002,48.321999,48.321999,45891000
2019-08-01,48.529999,48.902000,46.354000,46.770000,46.770000,41297500
2019-08-02,46.270000,47.254002,45.846001,46.868000,46.868000,30682500
2019-08-05,45.919998,46.273998,45.155998,45.664001,45.664001,35141500
2019-08-06,46.375999,46.500000,45.150002,46.150002,46.150002,27821000
2019-08-07,45.299999,46.714001,45.160000,46.683998,46.683998,23882500
2019-08-08,46.889999,47.959999,46.529999,47.660000,47.660000,26371500
2019-08-09,47.209999,47.792000,46.762001,47.001999,47.001999,19491000
2019-08-12,46.598000,47.153999,45.750000,45.801998,45.801998,23319500
2019-08-13,45.762001,47.200001,45.509998,47.000000,47.000000,24240500
2019-08-14,46.242001,46.299999,43.338001,43.924000,43.924000,47813000
2019-08-15,44.172001,44.312000,42.310001,43.127998,43.127998,40798000
2019-08-16,43.332001,44.448002,43.203999,43.987999,43.987999,25492500
2019-08-19,44.841999,45.566002,44.340000,45.366001,45.366001,26548000
2019-08-20,45.523998,45.818001,44.908001,45.172001,45.172001,20626000
2019-08-21,44.402000,44.644001,43.520000,44.166000,44.166000,38971500
2019-08-22,44.560001,45.080002,43.644001,44.430000,44.430000,32795000
2019-08-23,43.993999,44.234001,42.200001,42.279999,42.279999,42693000
2019-08-26,42.720001,43.004002,42.307999,43.000000,43.000000,25259500
2019-08-27,43.147999,43.759998,42.405998,42.816002,42.816002,27081000
2019-08-28,42.737999,43.450001,42.462002,43.118000,43.118000,16127500
2019-08-29,43.799999,44.680000,43.599998,44.341999,44.341999,25897500
2019-08-30,45.830002,46.487999,44.841999,45.122002,45.122002,46603000
2019-09-03,44.816002,45.790001,44.632000,45.001999,45.001999,26770500
2019-09-04,45.377998,45.692001,43.841999,44.136002,44.136002,28805000
2019-09-05,44.500000,45.959999,44.169998,45.916000,45.916000,36976500
2019-09-06,45.439999,45.928001,45.034000,45.490002,45.490002,20947000
2019-09-09,46.000000,46.751999,45.846001,46.358002,46.358002,24013500
2019-09-10,46.160000,47.108002,45.787998,47.108002,47.108002,24418500
2019-09-11,47.476002,49.633999,47.200001,49.419998,49.419998,50214000
2019-09-12,49.540001,50.700001,48.880001,49.174000,49.174000,42906000
2019-09-13,49.391998,49.689999,48.973999,49.040001,49.040001,26565500
2019-09-16,49.200001,49.486000,48.234001,48.562000,48.562000,23640500
2019-09-17,48.493999,49.119999,48.074001,48.958000,48.958000,19327000
2019-09-18,49.000000,49.633999,48.473999,48.698002,48.698002,20851000
2019-09-19,49.200001,49.588001,48.967999,49.320000,49.320000,23979000
2019-09-20,49.298000,49.389999,47.632000,48.124001,48.124001,31765000
2019-09-23,48.000000,49.035999,47.844002,48.245998,48.245998,21701000
2019-09-24,48.304001,48.397999,44.521999,44.641998,44.641998,64457500
2019-09-25,44.911999,45.796001,43.672001,45.740002,45.740002,47135500
2019-09-26,46.132000,48.661999,45.480000,48.512001,48.512001,59422500
2019-09-27,48.439999,49.742001,47.745998,48.425999,48.425999,55582000
2019-09-30,48.599998,48.796001,47.222000,48.174000,48.174000,29399000
2019-10-01,48.299999,49.189999,47.826000,48.938000,48.938000,30813000
2019-10-02,48.658001,48.930000,47.886002,48.625999,48.625999,28157000
2019-10-03,46.372002,46.896000,44.855999,46.605999,46.605999,75422500
2019-10-04,46.321999,46.956001,45.613998,46.285999,46.285999,39975000
2019-10-07,45.959999,47.712002,45.709999,47.543999,47.543999,40321000
2019-10-08,47.174000,48.787998,46.900002,48.009998,48.009998,43391000
2019-10-09,48.264000,49.459999,48.130001,48.905998,48.905998,34472000
2019-10-10,49.056000,49.855999,48.316002,48.948002,48.948002,31416500
2019-10-11,49.430000,50.216000,49.362000,49.577999,49.577999,42377000
